#Types Before Cut: 11091
#Types After Cut: 9790
#Search Hits: 0
243	15	27.599	минуты
244	15	27.599	понял
245	15	27.599	поняла
246	38	27.546	жизни
247	12	27.451	берег
248	12	27.451	весело
249	12	27.451	детстве
250	12	27.451	квартиру
251	12	27.451	круто
252	12	27.451	любят
253	12	27.451	поговорить
254	12	27.451	пятьдесят
255	34	27.366	голос
256	20	27.193	дочка
257	24	27.154	кому
258	24	27.154	принципе
259	21	26.418	язык
260	27	26.255	жизнь
261	18	26.253	дом
262	28	26.091	таки
263	16	25.577	школа
264	14	25.445	домой
265	14	25.445	любит
266	19	25.279	зачем
267	19	25.279	н
268	19	25.279	слово
269	11	25.163	inan
270	11	25.163	давали
271	11	25.163	девяносто
272	11	25.163	здорово
273	11	25.163	знала
274	11	25.163	кадра
275	11	25.163	квартире
276	11	25.163	классно
277	11	25.163	кхм
278	11	25.163	рассказчик
279	11	25.163	смеётся
280	11	25.163	смотри
281	11	25.163	соседка
282	11	25.163	училась
283	11	25.163	холодно
284	36	24.700	две
285	35	24.595	четыре
286	21	24.038	хоть
287	15	23.533	y
288	15	23.533	ж
289	13	23.301	думаешь
290	13	23.301	концерт
291	13	23.301	семья
292	13	23.301	ходить
293	13	23.301	честно
294	146	23.290	был
295	10	22.876	бывают
296	10	22.876	восемьдесят
297	10	22.876	дед
298	10	22.876	дедушка
299	10	22.876	ехать
300	10	22.876	забыл
301	10	22.876	иии
302	10	22.876	интересные
303	10	22.876	картинка
304	10	22.876	кашель
305	10	22.876	нуу
306	10	22.876	озеро
307	10	22.876	прикольно
308	10	22.876	ребята
309	10	22.876	своё
310	10	22.876	слушай
311	10	22.876	смешок
312	10	22.876	собака
313	10	22.876	ушёл
314	29	22.814	старший
315	20	22.264	другому
316	21	21.919	жить
317	22	21.669	часов
318	17	21.507	моей
319	14	21.504	собственно
320	156	21.477	или
321	12	21.167	делаю
322	12	21.167	купил
323	18	20.927	понимаю
324	39	20.629	людей
325	9	20.588	n
326	9	20.588	ар
327	9	20.588	видишь
328	9	20.588	грустный
329	9	20.588	двенадцать
330	9	20.588	двести
331	9	20.588	едем
332	9	20.588	женщина
333	9	20.588	кошки
334	9	20.588	папа
335	9	20.588	переехали
336	9	20.588	подожди
337	9	20.588	смесь
338	9	20.588	учителя
339	9	20.588	чай
340	9	20.588	эмм
341	27	19.861	ей
342	26	19.803	смысле
343	16	19.654	читать
344	13	19.492	говорила
345	13	19.492	маленький
346	13	19.492	машина
347	11	19.046	девочки
348	11	19.046	понимаешь
349	11	19.046	расскажу
350	18	18.787	русский
351	18	18.787	тему
352	29	18.780	соответственно
353	19	18.545	павел
354	14	18.484	d
355	14	18.484	мои
356	20	18.386	места
357	8	18.300	acc
358	8	18.300	komm
359	8	18.300	nom
360	8	18.300	ааa
361	8	18.300	английский
362	8	18.300	брови
363	8	18.300	вертолет
364	8	18.300	говорящийа
365	8	18.300	говорящийб
366	8	18.300	грустно
367	8	18.300	делаешь
368	8	18.300	егэ
369	8	18.300	замечательно
370	8	18.300	звук
371	8	18.300	иду
372	8	18.300	интересного
373	8	18.300	интересный
374	8	18.300	колесико
375	8	18.300	любишь
376	8	18.300	лёва
377	8	18.300	мамой
378	8	18.300	мемы
379	8	18.300	моих
380	8	18.300	надя
381	8	18.300	неудобно
382	8	18.300	никит
383	8	18.300	одиннадцать
384	8	18.300	поехал
385	8	18.300	прихожу
